airport,Evansville Regional,EVV,"Evansville, IN"
airport,Northwest Florida Beaches International,ECP,"Panama City, FL"
airport,Durango-La Plata County,DRO,"Durango, CO"
airport,Great Falls International,GTF,"Great Falls, MT"
airport,Central Wisconsin,CWA,"Mosinee, WI"
airport,MBS International,MBS,"Saginaw, MI"
airport,Lincoln,LNK,"Lincoln, NE"
airport,Capital Region International,LAN,"Lansing, MI"
airport,Idaho Falls Regional,IDA,"Idaho Falls, ID"
airport,Barnstable Municipal-Boardman/Polando Field,HYA,"Hyannis, MA"
airport,Bethel,BET,"Bethel, AK"
airport,Kalamazoo/Battle Creek International,AZO,"Kalamazoo, MI"
airport,University Park,UNV,"State College, PA"
airport,Gainesville Regional,GNV,"Gainesville, FL"
airport,Rochester International,RST,"Rochester, MN"
airport,Duluth International,DLH,"Duluth, MN"
airport,Yampa Valley,HDN,"Hayden, CO"
airport,Erie International/Tom Ridge Field,ERI,"Erie, PA"
airport,Albert J Ellis,OAJ,"Jacksonville, NC"
airport,San Luis County Regional,SBP,"San Luis Obispo, CA"
airport,Elmira/Corning Regional,ELM,"Elmira/Corning, NY"
airport,Coastal Carolina Regional,EWN,"New Bern, NC"
airport,Melbourne International,MLB,"Melbourne, FL"
airport,Ithaca Tompkins Regional,ITH,"Ithaca, NY"
airport,Laughlin/Bullhead International,IFP,"Bullhead City, AZ"
airport,La Crosse Municipal,LSE,"La Crosse, WI"
airport,Tri-State/Milton J. Ferguson Field,HTS,"Huntington, WV"
airport,Meadows Field,BFL,"Bakersfield, CA"
airport,Arcata,ACV,"Arcata/Eureka, CA"
airport,Laredo International,LRD,"Laredo, TX"
airport,Greater Binghamton/Edwin A Link Field,BGM,"Binghamton, NY"
airport,Grand Forks International,GFK,"Grand Forks, ND"
airport,Ketchikan International,KTN,"Ketchikan, AK"
airport,Chicago/Rockford International,RFD,"Chicago/Rockford, IL"
airport,Toledo Express,TOL,"Toledo, OH"
airport,Montrose Regional,MTJ,"Montrose, CO"
airport,"Santa Rosa, CA",STS,"Santa Rosa, CA"
airport,Mercedita,PSE,"Ponce, PR"
airport,Helena Regional,HLN,"Helena, MT"
airport,University of Illinois-Willard,CMI,"Champaign/Urbana, IL"
airport,Lynchburg Regional/Preston Glenn Field,LYH,"Lynchburg, VA"
airport,Monroe Regional,MLU,"Monroe, LA"
airport,Kenai Municipal,ENA,"Kenai, AK"
airport,Abilene Regional,ABI,"Abilene, TX"
airport,Brownsville/South Padre Island International,BRO,"Brownsville, TX"
airport,Kodiak,ADQ,"Kodiak, AK"
airport,Yuma MCAS/Yuma International,NYL,"Yuma, AZ"
airport,Florence Regional,FLO,"Florence, SC"
airport,Fort Smith Regional,FSM,"Fort Smith, AR"
airport,Casper/Natrona County International,CPR,"Casper, WY"
airport,Tyler Pounds Regional,TYR,"Tyler, TX"
airport,Easterwood Field,CLL,"College Station, TX"
airport,Plattsburgh International,PBG,"Plattsburgh, NY"
airport,Lawton-Fort Sill Regional,LAW,"Lawton, OK"
airport,Minot International,MOT,"Minot, ND"
airport,Hilton Head,HXD,"Hilton Head Island, SC"
airport,Flagstaff Pulliam,FLG,"Flagstaff, AZ"
airport,Waco Regional,ACT,"Waco, TX"
airport,Molokai,MKK,"Kaunakakai, HI"
airport,Charlotte County,PGD,"Punta Gorda, FL"
airport,Grand Canyon West,1G4,"Peach Springs, AZ"
airport,Sitka Rocky Gutierrez,SIT,"Sitka, AK"
