"airports","NYC","New York, NY","New York","NY"
"airports","CYS","Cheyenne Regional/Jerry Olson Field","Cheyenne, WY","Cheyenne","WY"
"airports","YAK","Yakutat","Yakutat, AK","Yakutat","AK"
"airports","OXR","Oxnard","Oxnard, CA","Oxnard","CA"
"airports","MGW","Morgantown Municipal-Walter L. Bill Hart Field","Morgantown, WV","Morgantown","WV"
"airports","EWB","New Bedford Regional","New Bedford, MA","New Bedford","MA"
"airports","PRC","Ernest A. Love Field","Prescott, AZ","Prescott","AZ"
"airports","CEC","Jack McNamara Field","Crescent City, CA","Crescent City","CA"
"airports","ISN","Sloulin Field International","Williston, ND","Williston","ND"
"airports","IYK","Inyokern","Inyokern, CA","Inyokern","CA"
"airports","MCW","Mason City Municipal","Mason City, IA","Mason City","IA"
"airports","FMN","Four Corners Regional","Farmington, NM","Farmington","NM"
"airports","WRG","Wrangell","Wrangell, AK","Wrangell","AK"
"airports","PVC","Provincetown Municipal","Provincetown, MA","Provincetown","MA"
"airports","OWB","Owensboro-Daviess County","Owensboro, KY","Owensboro","KY"
"airports","UNK","Unalakleet","Unalakleet, AK","Unalakleet","AK"
"airports","CKB","North Central West Virginia","Clarksburg, WV","Clarksburg","WV"
"airports","EAR","Kearney Regional","Kearney, NE","Kearney","NE"
"airports","BHB","Hancock County-Bar Harbor","Bar Harbor, ME","Bar Harbor","ME"
"airports","GCK","Garden City Regional","Garden City, KS","Garden City","KS"
"airports","ENM","Emmonak","Emmonak, AK","Emmonak","AK"
